"aclevel","gender","experAI","familAI","imporAI","roleAI","useAI","experAIc","familAIc","imporAIc","roleAIc","useAIc","aclevelc"
4,0,1,2.33,3.67,3.3,5,0,0.02,0.94,0.36,0.82,1
1,1,1,2.33,3.33,3.41,5,0,0.02,0.69,0.56,0.82,0
4,1,1,1,3,3.66,5,0,0,0.12,0.87,0.82,1
5,1,1,1.67,3,3.8,5,0,0,0.12,0.94,0.82,1
4,1,1,1,3,3.47,5,0,0,0.12,0.66,0.82,1
3,1,1,1,2.33,3.03,5,0,0,0,0.06,0.82,1
1,1,1,2.67,3.33,3.33,4,0,0.03,0.69,0.42,0.62,0
3,0,1,1.33,3,3.09,4,0,0,0.12,0.09,0.62,1
3,1,1,1,3.67,3.27,4,0,0,0.94,0.31,0.62,1
2,0,1,3,3,3.62,4,0,0.04,0.12,0.84,0.62,0
1,0,1,3,4,3.73,4,0,0.04,0.99,0.91,0.62,0
5,1,1,1,4,3.47,4,0,0,0.99,0.66,0.62,1
1,0,1,3.33,5,3.4,4,0,0.04,1,0.55,0.62,0
1,1,1,1,4,3.27,4,0,0,0.99,0.31,0.62,0
1,0,1,2.33,4.67,2.88,4,0,0.02,1,0.02,0.62,0
5,1,1,1,3.33,2.88,4,0,0,0.69,0.02,0.62,1
4,1,1,1,3,2.83,4,0,0,0.12,0.01,0.62,1
3,1,1,1.33,3,3.43,3,0,0,0.12,0.6,0.38,1
3,1,1,2,1.33,4.13,3,0,0.01,0,0.99,0.38,1
4,0,1,1.67,3,3.36,3,0,0,0.12,0.48,0.38,1
3,1,1,1,3.33,3.17,3,0,0,0.69,0.16,0.38,1
2,1,1,2.33,3.33,3.52,3,0,0.02,0.69,0.73,0.38,0
4,1,1,1,3,2.97,3,0,0,0.12,0.04,0.38,1
5,1,1,1.33,2.67,3.01,3,0,0,0,0.05,0.38,1
1,1,1,1.67,3.67,3.24,3,0,0,0.94,0.26,0.38,0
4,1,1,1.67,4,3.04,3,0,0,0.99,0.06,0.38,1
5,1,1,3,3,2.93,2,0,0.04,0.12,0.03,0.18,1
3,1,1,2.33,3.67,2.71,2,0,0.02,0.94,0,0.18,1
5,1,1,1,2,3.3,2,0,0,0,0.36,0.18,1
1,1,1,2,3.33,3.04,2,0,0.01,0.69,0.06,0.18,0
5,1,1,2,3.33,2.89,1,0,0.01,0.69,0.02,0.08,1
4,0,1,2,3.67,3.62,1,0,0.01,0.94,0.84,0.08,1
5,0,1,2,5,3.99,1,0,0.01,1,0.98,0.08,1
2,1,1,1.33,3.67,4.06,0,0,0,0.94,0.99,0.03,0
4,1,1,1.33,3,3.32,0,0,0,0.12,0.4,0.03,1
5,1,1,2,4,3.83,0,0,0.01,0.99,0.95,0.03,1
2,1,1,1,4,2.27,0,0,0,0.99,0,0.03,0
4,1,1,1.67,1,2.22,0,0,0,0,0,0.03,1
3,1,1,1.33,3,2.67,0,0,0,0.12,0,0.03,1
4,0,1,1,3.33,3,0,0,0,0.69,0.05,0.03,1
4,1,1,2,3,3,0,0,0.01,0.12,0.05,0.03,1
5,0,1,1,3,3,0,0,0,0.12,0.05,0.03,1
2,1,1,2.67,3.67,3,0,0,0.03,0.94,0.05,0.03,0
1,1,1,1.67,4,3,0,0,0,0.99,0.05,0.03,0
1,1,1,1.33,3.33,3,0,0,0,0.69,0.05,0.03,0
3,0,1,2,3,3,0,0,0.01,0.12,0.05,0.03,1
3,1,1,1.33,3,3,0,0,0,0.12,0.05,0.03,1
2,1,1,1.33,3.67,3,0,0,0,0.94,0.05,0.03,0
2,1,1,1,4,3,0,0,0,0.99,0.05,0.03,0
2,0,1,1,4.67,3,0,0,0,1,0.05,0.03,0
5,0,1,2,2.33,3,0,0,0.01,0,0.05,0.03,1
3,0,1,1,2.33,3,0,0,0,0,0.05,0.03,1
1,1,1,1,3,3,0,0,0,0.12,0.05,0.03,0
3,0,1,1,3,3,0,0,0,0.12,0.05,0.03,1
1,1,1,1.67,3,3,0,0,0,0.12,0.05,0.03,0
2,1,1,1,3,3,0,0,0,0.12,0.05,0.03,0
1,1,1,1.67,3,3,0,0,0,0.12,0.05,0.03,0
1,0,1,1.33,3,3,0,0,0,0.12,0.05,0.03,0
4,1,1,1,3,3,0,0,0,0.12,0.05,0.03,1
1,1,1,1,3,3,0,0,0,0.12,0.05,0.03,0
1,1,1,1,3,3,0,0,0,0.12,0.05,0.03,0
1,1,1,2,3,3,0,0,0.01,0.12,0.05,0.03,0
3,1,1,2.33,3,3,0,0,0.02,0.12,0.05,0.03,1
4,1,1,2.33,3,3,0,0,0.02,0.12,0.05,0.03,1
4,0,1,2,3,3,0,0,0.01,0.12,0.05,0.03,1
4,0,1,1.67,3,3,0,0,0,0.12,0.05,0.03,1
2,1,1,1.67,3,3,0,0,0,0.12,0.05,0.03,0
1,0,1,1.67,3,3,0,0,0,0.12,0.05,0.03,0
3,0,1,3,3,3,0,0,0.04,0.12,0.05,0.03,1
3,1,1,1,3,3,0,0,0,0.12,0.05,0.03,1
1,0,1,1,3,3,0,0,0,0.12,0.05,0.03,0
2,1,1,1,3,3,0,0,0,0.12,0.05,0.03,0
4,0,1,1,3,3,0,0,0,0.12,0.05,0.03,1
5,1,1,1,3,3,0,0,0,0.12,0.05,0.03,1
3,1,1,3.33,3,3,0,0,0.04,0.12,0.05,0.03,1
2,1,1.33,1.67,5,3.42,8,0.98,0,1,0.58,0.99,0
1,1,1.33,2.33,5,4.2,8,0.98,0.02,1,1,0.99,0
1,1,1.33,1.33,3.67,4.73,8,0.98,0,0.94,1,0.99,0
4,1,1.33,1.67,3,3.73,7,0.98,0,0.12,0.91,0.97,1
1,1,1.33,1.67,3.67,3.64,7,0.98,0,0.94,0.85,0.97,0
3,1,1.33,2,4,4.36,7,0.98,0.01,0.99,1,0.97,1
4,0,1.33,5,5,4.3,7,0.98,0.05,1,1,0.97,1
4,0,1.33,1.67,3,3.14,7,0.98,0,0.12,0.13,0.97,1
3,0,1.33,1.33,3,4.51,7,0.98,0,0.12,1,0.97,1
2,1,1.33,1.67,3.33,3.31,7,0.98,0,0.69,0.38,0.97,0
1,1,1.33,2,5,4.3,7,0.98,0.01,1,1,0.97,0
3,1,1.33,3,3.67,3.79,7,0.98,0.04,0.94,0.94,0.97,1
2,1,1.33,2.67,3,3.78,6,0.98,0.03,0.12,0.94,0.92,0
5,0,1.33,3.67,3.33,4.07,6,0.98,0.05,0.69,0.99,0.92,1
2,0,1.33,2.67,3.33,4.03,6,0.98,0.03,0.69,0.99,0.92,0
2,1,1.33,3,4,3.14,6,0.98,0.04,0.99,0.13,0.92,0
3,1,1.33,1.33,3.33,3.14,6,0.98,0,0.69,0.13,0.92,1
5,1,1.33,1,3,3.51,5,0.98,0,0.12,0.71,0.82,1
4,1,1.33,1,3.33,3.31,5,0.98,0,0.69,0.38,0.82,1
4,1,1.33,1.67,3,3.09,5,0.98,0,0.12,0.09,0.82,1
3,0,1.33,2.33,4,3.37,5,0.98,0.02,0.99,0.5,0.82,1
4,0,1.33,2,3.33,3.22,5,0.98,0.01,0.69,0.23,0.82,1
5,1,1.33,1.67,4,3.79,5,0.98,0,0.99,0.94,0.82,1
4,0,1.33,1.33,4,3.52,4,0.98,0,0.99,0.73,0.62,1
5,1,1.33,1.33,4.33,2.99,3,0.98,0,1,0.04,0.38,1
2,1,1.33,2.67,3.67,3.47,3,0.98,0.03,0.94,0.66,0.38,0
2,1,1.33,1.33,3.33,3.09,2,0.98,0,0.69,0.09,0.18,0
5,0,1.33,4,5,4.9,0,0.98,0.05,1,1,0.03,1
2,1,1.33,2,3.67,3,0,0.98,0.01,0.94,0.05,0.03,0
3,1,1.33,2,3.67,3,0,0.98,0.01,0.94,0.05,0.03,1
5,1,1.33,1.33,3,3,0,0.98,0,0.12,0.05,0.03,1
2,0,1.33,2.67,4,3,0,0.98,0.03,0.99,0.05,0.03,0
4,0,1.33,1.67,1,3,0,0.98,0,0,0.05,0.03,1
4,1,1.33,1,3.33,3,0,0.98,0,0.69,0.05,0.03,1
5,1,2,2,3.67,4.39,8,1,0.01,0.94,1,0.99,1
2,0,1.67,2,4,5,8,1,0.01,0.99,1,0.99,0
1,1,2.33,2.67,4,3.94,8,1,0.03,0.99,0.98,0.99,0
5,0,2,4.67,5,4.43,8,1,0.05,1,1,0.99,1
5,1,2.33,2.67,3.33,3.83,8,1,0.03,0.69,0.95,0.99,1
2,0,1.67,2.67,4.67,4.61,8,1,0.03,1,1,0.99,0
5,0,2,3,4.67,4.31,8,1,0.04,1,1,0.99,1
2,0,1.67,2.67,4,4.62,8,1,0.03,0.99,1,0.99,0
2,0,1.67,3,3.33,4.13,8,1,0.04,0.69,0.99,0.99,0
5,1,2,2.33,3.33,3.51,8,1,0.02,0.69,0.71,0.99,1
1,1,2.33,3.67,4.33,4.47,7,1,0.05,1,1,0.97,0
1,0,1.67,4.67,5,4.58,7,1,0.05,1,1,0.97,0
2,1,2,2,4,3.51,6,1,0.01,0.99,0.71,0.92,0
1,1,1.67,2,3.33,3.77,6,1,0.01,0.69,0.93,0.92,0
4,0,1.67,4,4.33,3.53,6,1,0.05,1,0.74,0.92,1
4,1,1.67,1.67,3.33,3.3,6,1,0,0.69,0.36,0.92,1
4,0,1.67,3.33,5,4.14,6,1,0.04,1,0.99,0.92,1
3,0,4,4,3,3.84,6,1,0.05,0.12,0.96,0.92,1
2,1,2.33,2.33,3.33,3.86,5,1,0.02,0.69,0.96,0.82,0
5,0,1.67,4,4,3.62,5,1,0.05,0.99,0.84,0.82,1
3,0,2,1.67,3.33,4.14,5,1,0,0.69,0.99,0.82,1
5,1,2,2.33,3.67,3.38,4,1,0.02,0.94,0.52,0.62,1
3,1,1.67,1.33,3.33,3.5,4,1,0,0.69,0.7,0.62,1
5,1,1.67,2,3,3.16,3,1,0.01,0.12,0.15,0.38,1
3,1,1.67,1.67,3.33,3.06,3,1,0,0.69,0.07,0.38,1
5,1,1.67,1.33,3.33,3.53,3,1,0,0.69,0.74,0.38,1
5,1,3,3,3,3.14,2,1,0.04,0.12,0.13,0.18,1
4,1,2,1.67,3,3.3,2,1,0,0.12,0.36,0.18,1
2,1,2.67,2.67,4,3,0,1,0.03,0.99,0.05,0.03,0
1,0,2.67,2.67,3.67,3,0,1,0.03,0.94,0.05,0.03,0
1,1,2,2.33,3.33,3,0,1,0.02,0.69,0.05,0.03,0
1,1,3,1,3,3,0,1,0,0.12,0.05,0.03,0
2,0,1.67,1,3,3,0,1,0,0.12,0.05,0.03,0
3,0,1.67,1.67,3,3,0,1,0,0.12,0.05,0.03,1
