"aclevel","gender","experAI","familAI","imporAI","roleAI","useAI","experAIc","imporAIc","familAIc","roleAIc","useAIc","aclevelc"
2,1,1.33,2,3.67,4.04,4,1,0.95,0.92,0.99,0.42,0
5,1,1,2,3,3,0,0.05,0.18,0.92,0.05,0.05,1
3,0,1,2,3,3,0,0.05,0.18,0.92,0.05,0.05,1
3,0,1.33,1.67,3.33,4.5,7,1,0.76,0.7,1,0.98,1
4,1,1,1.67,3,3.26,6,0.05,0.18,0.7,0.45,0.9,1
3,0,1,1.67,3.33,3.9,7,0.05,0.76,0.7,0.97,0.98,1
1,1,1,1.67,2.67,3.43,6,0.05,0,0.7,0.7,0.9,0
5,0,1,1.67,4,3.41,6,0.05,0.99,0.7,0.68,0.9,1
1,0,1,1.67,3,3.9,8,0.05,0.18,0.7,0.97,0.99,0
3,1,1.33,1.67,4.67,3.9,5,1,1,0.7,0.97,0.68,1
1,1,1,1.67,5,3.73,6,0.05,1,0.7,0.93,0.9,0
3,1,1,1.67,3,4.06,6,0.05,0.18,0.7,0.99,0.9,1
3,1,1,1.67,4.67,4,8,0.05,1,0.7,0.98,0.99,1
3,1,1.33,1.67,3.67,3.74,4,1,0.95,0.7,0.93,0.42,1
2,1,2,1.67,3,3,0,1,0.18,0.7,0.05,0.05,0
3,1,1.33,1.67,3.67,3,0,1,0.95,0.7,0.05,0.05,1
1,0,1,1.67,3.33,3,0,0.05,0.76,0.7,0.05,0.05,0
5,1,1,1.67,4.33,3,0,0.05,1,0.7,0.05,0.05,1
3,0,1,1.67,3,3,0,0.05,0.18,0.7,0.05,0.05,1
1,1,1,1.67,3,3,0,0.05,0.18,0.7,0.05,0.05,0
5,0,1,1.67,3,3,0,0.05,0.18,0.7,0.05,0.05,1
5,1,1,1.67,3,3,0,0.05,0.18,0.7,0.05,0.05,1
1,1,1,1.67,3,3,0,0.05,0.18,0.7,0.05,0.05,0
2,0.65,1,1.67,3,3,0,0.05,0.18,0.7,0.05,0.05,0
3,1,1,1.67,3,3,0,0.05,0.18,0.7,0.05,0.05,1
3,1,1,1.33,3.67,3.27,4,0.05,0.95,0.27,0.47,0.42,1
3,0,1,1.33,3.33,4.18,7,0.05,0.76,0.27,0.99,0.98,1
5,1,1,1.33,2.67,3,0,0.05,0,0.27,0.05,0.05,1
5,1,1,1.33,3,3.57,7,0.05,0.18,0.27,0.84,0.98,1
2,0,1.33,1.33,4,4.04,7,1,0.99,0.27,0.99,0.98,0
3,1,1.67,1.33,4.33,4.03,7,1,1,0.27,0.99,0.98,1
2,1,1,1.33,3,3.24,6,0.05,0.18,0.27,0.4,0.9,0
4,1,1,1.33,3,2.89,5,0.05,0.18,0.27,0.02,0.68,1
3,1,1,1.33,3.67,3.59,7,0.05,0.95,0.27,0.86,0.98,1
3,1,1.33,1.33,5,3.47,5,1,1,0.27,0.75,0.68,1
1,1,1,1.33,5,4.74,8,0.05,1,0.27,1,0.99,0
3,1,1,1.33,2.67,3.62,5,0.05,0,0.27,0.88,0.68,1
1,0,1,1.33,4,4.16,8,0.05,0.99,0.27,0.99,0.99,0
3,0,1,1.33,2,3.26,7,0.05,0,0.27,0.45,0.98,1
1,1,1.67,1.33,3.33,3.83,5,1,0.76,0.27,0.96,0.68,0
4,1,1,1.33,3.33,3,0,0.05,0.76,0.27,0.05,0.05,1
1,1,1,1.33,3,3,0,0.05,0.18,0.27,0.05,0.05,0
1,1,1,1.33,3,3,0,0.05,0.18,0.27,0.05,0.05,0
2,1,1,1.33,3,3,0,0.05,0.18,0.27,0.05,0.05,0
2,1,1,1,3.67,3.9,5,0.05,0.95,0.05,0.97,0.68,0
2,1,1,1,3.67,4,7,0.05,0.95,0.05,0.98,0.98,0
5,1,1,1,3,3.61,8,0.05,0.18,0.05,0.87,0.99,1
3,1,1,1,3.67,4.22,5,0.05,0.95,0.05,1,0.68,1
2,1,1,1,5,3.76,8,0.05,1,0.05,0.94,0.99,0
4,1,1,1,5,3.91,6,0.05,1,0.05,0.97,0.9,1
4,1,1,1,3,3.83,8,0.05,0.18,0.05,0.96,0.99,1
2,1,1.33,1,3.67,3.29,5,1,0.95,0.05,0.51,0.68,0
3,1,1.33,1,3.33,3.3,3,1,0.76,0.05,0.53,0.27,1
1,1,1,1,5,3.41,5,0.05,1,0.05,0.68,0.68,0
1,0,1,1,4.67,3.37,5,0.05,1,0.05,0.63,0.68,0
2,1,1,1,3.67,3.69,4,0.05,0.95,0.05,0.91,0.42,0
4,1,1,1,5,3.38,3,0.05,1,0.05,0.64,0.27,1
3,0,1.33,1,3.33,3,0,1,0.76,0.05,0.05,0.05,1
2,0.65,1,1,3,3.57,5,0.05,0.18,0.05,0.84,0.68,0
2,1,1,1,3,3.48,0,0.05,0.18,0.05,0.76,0.05,0
1,1,1,1,3,4.17,5,0.05,0.18,0.05,0.99,0.68,0
3,1,1,1,2.67,3.74,8,0.05,0,0.05,0.93,0.99,1
3,1,1,1,3.33,3.47,7,0.05,0.76,0.05,0.75,0.98,1
3,1,1,1,4,4.5,7,0.05,0.99,0.05,1,0.98,1
2,0,1,1,3.67,3.67,4,0.05,0.95,0.05,0.9,0.42,0
3,1,1,1,3,3.16,0,0.05,0.18,0.05,0.22,0.05,1
3,1,1,1,3,4.11,7,0.05,0.18,0.05,0.99,0.98,1
2,1,1,1,1.67,2.92,6,0.05,0,0.05,0.02,0.9,0
3,1,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,1
1,1,1,1,1,3,0,0.05,0,0.05,0.05,0.05,0
3,0.65,1,1,3,2.9,0,0.05,0.18,0.05,0.02,0.05,1
5,0.65,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,1
1,1,1,1,3.67,3,0,0.05,0.95,0.05,0.05,0.05,0
2,0,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,0
3,1,1,1,4.67,3,0,0.05,1,0.05,0.05,0.05,1
5,1,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,1
3,0,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,1
1,1,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,0
2,1,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,0
3,1,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,1
2,1,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,0
2,0,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,0
3,1,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,1
3,0,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,1
2,1,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,0
3,0,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,1
3,1,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,1
3,1,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,1
1,0.65,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,0
3,1,1,1,3,3,0,0.05,0.18,0.05,0.05,0.05,1
